"","IC1","IC2","IC3","IC4","IC5"
"FUCA2",1.02907689592729,0.123282573115668,2.05154631275572,-1.12408302266307,2.29239631481582
"STPG1",0.840379572851072,-0.120462851098997,0.610568790398456,-0.805711183306903,-0.174255405111254
"CFTR",0.990288700324235,-1.92084635791443,1.23892423112744,0.730581829962159,-0.207880758011859
"CYP51A1",1.77821769670309,-1.84401797443594,0.0489425909011469,0.571993659426577,0.763416018245102
"AOC1",1.12495088291343,-2.46799064340613,0.462150310250188,-0.861535465186274,1.54990828401455
"LASP1",0.853742589062005,-0.0329290088430971,-0.506357362925754,1.52122085715258,-0.313107768286443
"TFPI",0.986794443300157,0.383067495953003,-0.728315895137021,0.856649164851097,0.560405372441649
"CDC27",0.73256507551995,0.481847623624307,-1.01391031089154,-1.15266569742892,-0.947020024973044
"PRSS22",1.07610100941621,-2.26975766136887,1.83222555699404,-0.619403251226637,-0.715121691935472
"HOXA11",1.60715447654848,0.47545201528551,-0.243583694158887,-0.592030591707726,-0.736898382394087
"COPZ2",1.05908578339,1.86720523750097,1.52056061055272,-0.41500412777786,-1.37878128275017
"IBTK",0.965435358425219,0.156240222626158,0.986137676738042,1.50579095570776,-0.0560725716738574
"ITGA3",1.06950046275797,-0.312547840319218,0.893821131820646,-1.39357515315072,0.117189179338302
"GDE1",0.64151520499133,-0.283592519086489,-1.04517180602235,1.10097760744513,-0.957905812832883
"CRLF1",1.39758682921931,1.10010401723447,-1.35418655126931,0.735469272824326,0.351035208024144
"TMEM98",1.14643551371618,0.296582653598793,0.70600451442101,0.00207082153649075,0.70191253913599
"TMEM132A",0.699507774063275,0.611699208437198,0.560541885503955,1.17604084804086,-0.271284409611271
"TNFRSF12A",2.1489309098523,0.285588461366967,-0.244994560522044,-0.453692048340165,-1.00161162976982
"RALA",0.769369146539295,-0.233283547758583,-1.41742035357586,0.630577221343085,-1.10533573548766
"BAIAP2L1",1.27888835729595,-1.88012593464558,-0.703835718152937,0.122327586191893,-0.541479785685942
"ETV1",0.84415142039841,0.324096482159369,0.661865513221422,-0.0522167025327963,0.469440741222306
"ALDH3B1",0.713399089741611,0.0661359162529211,-0.667980099619019,1.619984324266,-0.448605444500072
"FARP2",0.700805271468001,-0.276059302977028,-0.591162980864382,-0.125287947140526,-0.739476184251041
"USH1C",0.907624307492497,-2.99709616550193,-1.6497448652624,0.704682194347623,-1.21420987351092
"GTF2IRD1",1.17621725024408,-0.237885739957116,-1.19475027472112,-0.0279823587810432,0.844349496111857
"SCIN",0.761558092708969,-1.99597902354039,0.575744244368972,0.628912692279231,-0.0798912758975235
"CDKL3",0.76341668983487,-0.834427613278365,0.558696567377314,1.04269860661909,0.733489665367532
"PROM1",0.959447102205624,-3.04059696647844,-1.38537588634536,1.21835950888143,-1.21676354055658
"RHBDF1",1.12475687500678,0.0943140510092062,1.73958169249411,-0.114634857107585,0.63859000933076
"FMO3",0.730972898722782,0.842079543845445,-0.36171118818531,2.08154233850755,-1.50408853446753
"CYTH3",0.720909461039753,0.980140362919111,-0.822511816619568,-0.327797094717329,0.144393838821496
"MGST1",2.79299581161324,0.665442934967308,2.16329443237429,0.47289783082667,0.144990994065115
"NFIX",1.32351112818398,1.08405963509489,0.845923279575606,-0.0972244525815007,0.2306329468382
"REV3L",1.01476368374188,1.09457325541708,0.414589640473321,0.598449553968087,-0.931568125053345
"IYD",1.00882453633457,-2.05309503035571,-0.365466777124925,0.53539302993614,-0.0507795372074787
"PRSS3",1.51688942660356,-1.87291492245926,-1.79069257132445,-0.3806088321063,0.843700856109176
"MRC2",0.924272487460148,2.68203694163249,-0.343205672548295,-1.7314395702677,-2.18313854989316
"DPF1",0.858130528644904,0.557872390229552,0.242682450491301,-0.680112316954988,2.15462990992215
"PLAUR",0.987005244266628,0.0286183378532128,1.81702548915127,-0.0992304977321624,-1.33784182148752
"ANLN",2.67141481608841,0.669745255114394,0.157821009673013,2.00235775047333,0.329359625375127
"DCN",2.58580503670398,3.96180952480299,-1.33577417311222,1.32829753410744,0.96907853557595
"MAP4K3",0.696213085037493,-0.017617546581894,0.126991368721128,0.746895792884388,-1.46608715552466
"TMEM159",0.901537911890782,-0.405595043686656,-0.210290957825824,-0.309646067985907,-0.396737644612015
"BRCA1",1.04314174273508,0.209941630400865,1.32382349583587,1.29911074213178,-1.55824514723258
"SEMA3B",0.738341978892563,-1.01295014990347,-1.19873599828959,0.562763681138371,-0.517503775069021
"MBTPS2",0.96744487902483,0.539804001068828,-0.209846901969788,-1.7034489650735,-1.37253872001686
"KDM5D",0.803220440478977,-0.0955348383395469,-0.122578087476824,-0.273647443072986,0.0127435197836445
"CLDN11",2.09737456814416,2.93453935322807,1.43838091952623,-1.1513318954655,-0.619487654682891
"PGM3",0.916675230626231,0.368650823533391,0.38997678697743,-0.761168388351368,-0.0281758017833954
"GPRC5A",2.99485319441074,-1.9003206298786,0.410089078733062,-0.645579217591579,0.365644948320891
"MTMR11",1.28530777193623,-1.77353611015598,-0.224926058769823,0.290110812081966,0.0620401631334902
"NPC1L1",0.920578566506664,-2.28887494021017,0.130593566281308,0.25846821294249,0.228379996343575
"IL20RA",0.938636371391415,-1.56608263586734,0.00123517295434755,-0.327824428659318,1.3863501106306
"GLT8D1",0.689214084675445,0.360797303828603,-1.97813276880847,0.139626880418353,0.0399066407521203
"ATP2C1",0.90977635580994,0.222299860801767,1.45799402106599,-1.23508685376424,-0.364162135248807
"SLC38A5",0.795178809931632,0.0171202925489008,-2.18453949175548,-0.344820750284478,1.86396775833076
"AGPS",0.87259002043274,-0.220372485563476,-0.35330967881261,-0.00963235902364128,-0.610121222189419
"VSIG2",0.863931347805244,-2.81671574832078,-0.277681688144133,1.15042740594636,1.1473965155577
"PHLDB1",0.725607109550499,0.522168810041729,-0.00545978176178772,0.458065934293128,-0.932028980919604
"SYT13",1.11627032932422,-2.73057039902281,-0.732878232475081,-0.165490172672257,0.449809209523929
"ZRANB1",0.943323800862318,-0.164925568205187,-0.811125991551987,0.510146828378384,-0.536961257250855
"MNAT1",0.977517999082826,0.310640207874576,0.237742356823947,2.40431410053861,-0.3899196191166
"CPS1",1.10139918450915,1.60380306698959,0.800791135809877,0.439870007881692,-0.0202393992973152
"NDUFS1",0.758805772423836,0.0281665181126458,0.113959244507623,-0.679512060255885,-0.719927514373112
"SNAPC1",0.649048721350342,1.03216427457341,-0.817821971979422,0.0462628294672736,-1.4472378626017
"DERA",0.861919629470926,0.121660054251739,-0.250493218568219,-0.271769843055287,0.704077477776919
"STRAP",0.833700891612082,0.422430844171916,-0.657052550013717,-1.7728406036435,-1.33049675628477
"DEPDC1",1.99200193063481,0.533868387701933,0.938693952417092,1.4678001029926,2.6194785355062
"TOMM34",0.813731006700054,0.228967448452022,-0.0537640314181019,-0.237853711372526,1.65541985044935
"CD44",0.848714695991186,0.449742050313612,-0.491274068877073,0.394886793300978,0.0378663660946478
"KCNG1",0.896612892532022,1.3151552329961,-0.0415657341753281,1.19327497286082,1.43355022489412
"VRK2",0.772096027958972,-0.367825756225355,-0.631972923564872,-1.05824602113502,0.271995402797092
"VEZT",0.796231263738266,-0.0821637926484758,0.240507931583061,0.700366430992666,-0.923593721648966
"ARNTL2",1.53467131695634,-0.47857672189434,-1.56322994826369,0.105950479583771,-0.598951389741433
"HMGB3",0.808415599058597,0.03651619504143,-0.0915451917768774,0.616404412577231,-1.28968395295768
"ALG1",0.768966025854584,-0.129053954909915,-0.103985254848046,-0.483351400606986,-0.494367265798221
"TMSB10",0.93203977212593,0.475221787666337,0.0992802686861501,0.201579067629793,-0.803211428921385
"VCL",0.880300788875896,0.645481414394876,-0.0950626249044002,0.157478064941259,-0.808312115053361
"DEPDC1B",1.21864863485303,-0.367494156634431,0.408533903297925,-0.1128077805482,0.332495287460926
"MFAP3",0.907852690487353,0.0719090486814684,0.708923085360751,-1.78109296981496,0.0780881184559946
"HOXC8",2.35660873672021,1.01668356855296,0.0805124388315225,-1.15628891890389,-0.666346442455673
"DNAH5",0.944505362029652,-0.535225089598201,0.527515605332181,0.174244172598712,1.25056846206591
"PHLPP2",0.866921643868919,0.341847641250686,0.00526020581966725,-0.0423450061595088,0.195887744495705
"SPDL1",0.946229503150555,0.617848178468972,0.179899620047822,-0.734868860689759,-2.84616904475935
"RAB27B",1.22207649934593,-1.57839858968118,-0.534997560356103,0.876767263251059,0.597665136040867
"RETSAT",0.855824237033586,-0.667534425001974,-0.708830566553544,0.450675352709416,0.794172330308141
